ID	Gene Name	Species	ENTREZ_GENE_ID
ADAM11	ADAM metallopeptidase domain 11	Homo sapiens	4185,
ADAM12	ADAM metallopeptidase domain 12	Homo sapiens	8038,
ADAM15	ADAM metallopeptidase domain 15	Homo sapiens	8751,
ADAM17	ADAM metallopeptidase domain 17	Homo sapiens	6868,
ADAM19	ADAM metallopeptidase domain 19 (meltrin beta)	Homo sapiens	8728,
ADAM2	ADAM metallopeptidase domain 2	Homo sapiens	2515,
ADAM22	ADAM metallopeptidase domain 22	Homo sapiens	53616,
ADAM23	ADAM metallopeptidase domain 23	Homo sapiens	8745,
ADAM28	ADAM metallopeptidase domain 28	Homo sapiens	10863,
ADAM33	ADAM metallopeptidase domain 33	Homo sapiens	80332,
ADAM3B	ADAM metallopeptidase domain 3B (non-functional)	Homo sapiens	1596,
ADAM9	ADAM metallopeptidase domain 9 (meltrin gamma)	Homo sapiens	8754,
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	Homo sapiens	9510,
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif, 13	Homo sapiens	11093,
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif, 4	Homo sapiens	9507,
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif, 5	Homo sapiens	11096,
ADAMTSL4	ADAMTS-like 4	Homo sapiens	54507,
ADPGK	ADP-dependent glucokinase	Homo sapiens	83440,
ARF1	ADP-ribosylation factor 1	Homo sapiens	375,
ARF3	ADP-ribosylation factor 3	Homo sapiens	377,
ARF4	ADP-ribosylation factor 4	Homo sapiens	378,
ARF5	ADP-ribosylation factor 5	Homo sapiens	381,
ARF6	ADP-ribosylation factor 6	Homo sapiens	382,
ARFGAP1	ADP-ribosylation factor GTPase activating protein 1	Homo sapiens	55738,
ARFGAP3	ADP-ribosylation factor GTPase activating protein 3	Homo sapiens	26286,
ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	Homo sapiens	10565,
ARFGEF2	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)	Homo sapiens	10564,
ARFIP1	ADP-ribosylation factor interacting protein 1	Homo sapiens	27236,
ARFIP2	ADP-ribosylation factor interacting protein 2	Homo sapiens	23647,
ARFRP1	ADP-ribosylation factor related protein 1	Homo sapiens	10139,
ARL1	ADP-ribosylation factor-like 1	Homo sapiens	400,
ARL11	ADP-ribosylation factor-like 11	Homo sapiens	115761,
ARL14	ADP-ribosylation factor-like 14	Homo sapiens	80117,
ARL15	ADP-ribosylation factor-like 15	Homo sapiens	54622,
ARL2	ADP-ribosylation factor-like 2	Homo sapiens	402,
ARL2BP	ADP-ribosylation factor-like 2 binding protein	Homo sapiens	23568,
ARL3	ADP-ribosylation factor-like 3	Homo sapiens	403,
ARL4A	ADP-ribosylation factor-like 4A	Homo sapiens	10124,
ARL4C	ADP-ribosylation factor-like 4C	Homo sapiens	10123,
ARL4D	ADP-ribosylation factor-like 4D	Homo sapiens	379,
ARL5A	ADP-ribosylation factor-like 5A	Homo sapiens	26225,
ARL5B	ADP-ribosylation factor-like 5B	Homo sapiens	221079,
ARL6	ADP-ribosylation factor-like 6	Homo sapiens	84100,
ARL6IP1	ADP-ribosylation factor-like 6 interacting protein 1	Homo sapiens	23204,
ARL8B	ADP-ribosylation factor-like 8B	Homo sapiens	55207,
ARL6IP4	ADP-ribosylation-like factor 6 interacting protein 4	Homo sapiens	51329,
ARL6IP5	ADP-ribosylation-like factor 6 interacting protein 5	Homo sapiens	10550,
ARL6IP6	ADP-ribosylation-like factor 6 interacting protein 6	Homo sapiens	151188,
ADPRHL2	ADP-ribosylhydrolase like 2	Homo sapiens	54936,
ART1	ADP-ribosyltransferase 1	Homo sapiens	417,
AEBP1	AE binding protein 1	Homo sapiens	165,
AEBP2	AE binding protein 2	Homo sapiens	121536,
AFF1	AF4/FMR2 family, member 1	Homo sapiens	4299,
AFF4	AF4/FMR2 family, member 4	Homo sapiens	27125,
AFG3L2	AFG3 ATPase family gene 3-like 2 (yeast)	Homo sapiens	10939,
AHSA1	AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)	Homo sapiens	10598,
AHSA2	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)	Homo sapiens	130872,
AHNAK	AHNAK nucleoprotein	Homo sapiens	79026,
AKTIP	AKT interacting protein; similar to AKT interacting protein	Homo sapiens	100130746,64400,
AKT1S1	AKT1 substrate 1 (proline-rich)	Homo sapiens	84335,
ALS2CL	ALS2 C-terminal like	Homo sapiens	259173,
ALX1	ALX homeobox 1	Homo sapiens	8092,
ALX4	ALX homeobox 4	Homo sapiens	60529,
SYNRG	AP1 gamma subunit binding protein 1	Homo sapiens	11276,
APIP	APAF1 interacting protein; similar to APAF1 interacting protein	Homo sapiens	100128086,51074,
APEX2	APEX nuclease (apurinic/apyrimidinic endonuclease) 2	Homo sapiens	27301,
APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	Homo sapiens	328,
API5	API5-like 1; apoptosis inhibitor 5	Homo sapiens	642812,8539,
A1CF	APOBEC1 complementation factor	Homo sapiens	29974,
NAA10	ARD1 homolog A, N-acetyltransferase (S. cerevisiae)	Homo sapiens	8260,
NAA11	ARD1 homolog B (S. cerevisiae)	Homo sapiens	84779,
ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)	Homo sapiens	10121,
ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta (yeast)	Homo sapiens	10120,
ACTR2	ARP2 actin-related protein 2 homolog (yeast)	Homo sapiens	10097,
ACTR3	ARP3 actin-related protein 3 homolog (yeast)	Homo sapiens	10096,
ACTR3B	ARP3 actin-related protein 3 homolog B (yeast)	Homo sapiens	57180,
ACTR8	ARP8 actin-related protein 8 homolog (yeast)	Homo sapiens	93973,
ASF1A	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	Homo sapiens	25842,
ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	Homo sapiens	55723,
AHDC1	AT hook, DNA binding motif, containing 1	Homo sapiens	27245,
ARID1A	AT rich interactive domain 1A (SWI-like)	Homo sapiens	8289,
ARID1B	AT rich interactive domain 1B (SWI1-like)	Homo sapiens	57492,
ARID2	AT rich interactive domain 2 (ARID, RFX-like)	Homo sapiens	196528,
ARID3A	AT rich interactive domain 3A (BRIGHT-like)	Homo sapiens	1820,
ARID3B	AT rich interactive domain 3B (BRIGHT-like)	Homo sapiens	10620,
ARID4A	AT rich interactive domain 4A (RBP1-like)	Homo sapiens	5926,
ARID4B	AT rich interactive domain 4B (RBP1-like)	Homo sapiens	51742,
ARID5A	AT rich interactive domain 5A (MRF1-like)	Homo sapiens	10865,
ATG10	ATG10 autophagy related 10 homolog (S. cerevisiae)	Homo sapiens	83734,
ATG12	ATG12 autophagy related 12 homolog (S. cerevisiae)	Homo sapiens	9140,
ATG16L1	ATG16 autophagy related 16-like 1 (S. cerevisiae)	Homo sapiens	55054,
ATG3	ATG3 autophagy related 3 homolog (S. cerevisiae)	Homo sapiens	64422,
ATG4A	ATG4 autophagy related 4 homolog A (S. cerevisiae)	Homo sapiens	115201,
ATG4B	ATG4 autophagy related 4 homolog B (S. cerevisiae)	Homo sapiens	23192,
ATG5	ATG5 autophagy related 5 homolog (S. cerevisiae)	Homo sapiens	9474,
ATG7	ATG7 autophagy related 7 homolog (S. cerevisiae)	Homo sapiens	10533,
ATG9A	ATG9 autophagy related 9 homolog A (S. cerevisiae)	Homo sapiens	79065,
ACLY	ATP citrate lyase	Homo sapiens	47,
ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	Homo sapiens	64756,
ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	Homo sapiens	91647,
ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)	Homo sapiens	518,
ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F2	Homo sapiens	9551,
ATP5L	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	Homo sapiens	10632,
ATP5H	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d	Homo sapiens	10476,
ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle	Homo sapiens	498,
ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	Homo sapiens	506,
ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	Homo sapiens	509,
ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	Homo sapiens	19,
ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	Homo sapiens	20,
ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	Homo sapiens	24,
ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	Homo sapiens	5243,
ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	Homo sapiens	8647,
ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	Homo sapiens	5244,
ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5; small nuclear ribonucleoprotein 35kDa (U11/U12)	Homo sapiens	11066,340273,
ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	Homo sapiens	22,
ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	Homo sapiens	11194,
ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	Homo sapiens	1244,
ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	Homo sapiens	6833,
ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	Homo sapiens	10060,
ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	Homo sapiens	215,
ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	Homo sapiens	225,
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	Homo sapiens	5825,
ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	Homo sapiens	5826,
ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	Homo sapiens	23,
ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	Homo sapiens	55324,
ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	Homo sapiens	9619,
ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4	Homo sapiens	64137,
ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5	Homo sapiens	64240,
ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8	Homo sapiens	64241,
AGTPBP1	ATP/GTP binding protein 1	Homo sapiens	23287,
ATAD2	ATPase family, AAA domain containing 2	Homo sapiens	29028,
ATAD5	ATPase family, AAA domain containing 5	Homo sapiens	79915,
ATPIF1	ATPase inhibitory factor 1	Homo sapiens	93974,
ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	Homo sapiens	487,
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	Homo sapiens	488,
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	Homo sapiens	490,
ATP2B2	ATPase, Ca++ transporting, plasma membrane 2	Homo sapiens	491,
ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	Homo sapiens	493,
ATP2A3	ATPase, Ca++ transporting, ubiquitous	Homo sapiens	489,
ATP7A	ATPase, Cu++ transporting, alpha polypeptide	Homo sapiens	538,
ATP7B	ATPase, Cu++ transporting, beta polypeptide	Homo sapiens	540,
ATP6V1G1	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1	Homo sapiens	9550,
ATP6V1G2	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2	Homo sapiens	534,
ATP6V1F	ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F	Homo sapiens	9296,
ATP6V0C	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c	Homo sapiens	527,
ATP6V1E1	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1	Homo sapiens	529,
ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	Homo sapiens	51382,
ATP6V0D1	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1	Homo sapiens	9114,
ATP6V1H	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H	Homo sapiens	51606,
ATP6V1B1	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1	Homo sapiens	525,
ATP6V1A	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	Homo sapiens	523,
ATP6V0E1	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	Homo sapiens	8992,
ATP6V0A2	ATPase, H+ transporting, lysosomal V0 subunit a2	Homo sapiens	23545,
ATP6V0A4	ATPase, H+ transporting, lysosomal V0 subunit a4	Homo sapiens	50617,
ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	Homo sapiens	537,
ATP6AP2	ATPase, H+ transporting, lysosomal accessory protein 2	Homo sapiens	10159,
ATP4B	ATPase, H+/K+ exchanging, beta polypeptide	Homo sapiens	496,
ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	Homo sapiens	476,
ATP1A2	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide	Homo sapiens	477,
ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	Homo sapiens	478,
ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	Homo sapiens	481,
ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide	Homo sapiens	482,
ATOX1	ATX1 antioxidant protein 1 homolog (yeast)	Homo sapiens	475,
AUH	AU RNA binding protein/enoyl-Coenzyme A hydratase	Homo sapiens	549,
AXL	AXL receptor tyrosine kinase	Homo sapiens	558,
ALMS1	Alstrom syndrome 1	Homo sapiens	7840,
AGFG1	ArfGAP with FG repeats 1	Homo sapiens	3267,
AGFG2	ArfGAP with FG repeats 2	Homo sapiens	3268,
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	Homo sapiens	116987,
AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	Homo sapiens	116986,
ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	Homo sapiens	116985,
ASAP1	ArfGAP with SH3 domain, ankyrin repeat and PH domain 1	Homo sapiens	50807,
ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	Homo sapiens	8853,
ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	Homo sapiens	55616,
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Homo sapiens	9744,
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Homo sapiens	116983,
ADAP1	ArfGAP with dual PH domains 1	Homo sapiens	11033,
ADAP2	ArfGAP with dual PH domains 2	Homo sapiens	55803,
BTLA	B and T lymphocyte associated	Homo sapiens	151888,
BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	Homo sapiens	55814,
BLK	B lymphoid tyrosine kinase	Homo sapiens	640,
BSPRY	B-box and SPRY domain containing	Homo sapiens	54836,
BCL10	B-cell CLL/lymphoma 10; hypothetical LOC646626	Homo sapiens	646626,8915,
BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	Homo sapiens	53335,
BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	Homo sapiens	64919,
BCL2	B-cell CLL/lymphoma 2	Homo sapiens	596,
BCL3	B-cell CLL/lymphoma 3	Homo sapiens	602,
BCL6	B-cell CLL/lymphoma 6	Homo sapiens	604,
BCL6B	B-cell CLL/lymphoma 6, member B (zinc finger protein)	Homo sapiens	255877,
BCL7A	B-cell CLL/lymphoma 7A	Homo sapiens	605,
BCL9	B-cell CLL/lymphoma 9	Homo sapiens	607,
BCL9L	B-cell CLL/lymphoma 9-like	Homo sapiens	283149,
BLNK	B-cell linker	Homo sapiens	29760,
BCAP29	B-cell receptor-associated protein 29	Homo sapiens	55973,
BCAP31	B-cell receptor-associated protein 31	Homo sapiens	10134,
BANK1	B-cell scaffold protein with ankyrin repeats 1	Homo sapiens	55024,
BTG1	B-cell translocation gene 1, anti-proliferative	Homo sapiens	694,
B9D1	B9 protein domain 1	Homo sapiens	27077,
BAHCC1	BAH domain and coiled-coil containing 1	Homo sapiens	57597,
BAIAP2	BAI1-associated protein 2	Homo sapiens	10458,
BAIAP2L1	BAI1-associated protein 2-like 1	Homo sapiens	55971,
BAIAP3	BAI1-associated protein 3	Homo sapiens	8938,
BARX2	BARX homeobox 2	Homo sapiens	8538,
BBC3	BCL2 binding component 3	Homo sapiens	27113,
BAK1	BCL2-antagonist/killer 1; BCL2-like 7 pseudogene 1	Homo sapiens	578,600,
BAX	BCL2-associated X protein	Homo sapiens	581,
BAD	BCL2-associated agonist of cell death	Homo sapiens	572,
BAG1	BCL2-associated athanogene	Homo sapiens	573,
BAG2	BCL2-associated athanogene 2	Homo sapiens	9532,
BAG3	BCL2-associated athanogene 3	Homo sapiens	9531,
BAG4	BCL2-associated athanogene 4	Homo sapiens	9530,
BAG5	BCL2-associated athanogene 5	Homo sapiens	9529,
BIK	BCL2-interacting killer (apoptosis-inducing)	Homo sapiens	638,
BCL2L1	BCL2-like 1	Homo sapiens	598,
BCL2L10	BCL2-like 10 (apoptosis facilitator)	Homo sapiens	10017,
BCL2L11	BCL2-like 11 (apoptosis facilitator)	Homo sapiens	10018,
BCL2L12	BCL2-like 12 (proline rich)	Homo sapiens	83596,
BCL2L13	BCL2-like 13 (apoptosis facilitator)	Homo sapiens	23786,
BCL2L14	BCL2-like 14 (apoptosis facilitator)	Homo sapiens	79370,
BCL2L2	BCL2-like 2	Homo sapiens	599,
BOK	BCL2-related ovarian killer	Homo sapiens	666,
BCL2A1	BCL2-related protein A1	Homo sapiens	597,
BNIPL	BCL2/adenovirus E1B 19kD interacting protein like	Homo sapiens	149428,
BNIP1	BCL2/adenovirus E1B 19kDa interacting protein 1	Homo sapiens	662,
BNIP2	BCL2/adenovirus E1B 19kDa interacting protein 2	Homo sapiens	663,
BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	Homo sapiens	664,
BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	Homo sapiens	665,
BCOR	BCL6 co-repressor	Homo sapiens	54880,
BCS1L	BCS1-like (yeast)	Homo sapiens	617,
BEND2	BEN domain containing 2	Homo sapiens	139105,
BEND5	BEN domain containing 5	Homo sapiens	79656,
BEND7	BEN domain containing 7	Homo sapiens	222389,
BID	BH3 interacting domain death agonist	Homo sapiens	637,
BMI1	BMI1 polycomb ring finger oncogene	Homo sapiens	648,
BMPER	BMP binding endothelial regulator	Homo sapiens	168667,
BMP2K	BMP2 inducible kinase	Homo sapiens	55589,
BMX	BMX non-receptor tyrosine kinase	Homo sapiens	660,
BRSK1	BR serine/threonine kinase 1	Homo sapiens	84446,
BRSK2	BR serine/threonine kinase 2	Homo sapiens	9024,
BARD1	BRCA1 associated RING domain 1	Homo sapiens	580,
BRAP	BRCA1 associated protein	Homo sapiens	8315,
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	Homo sapiens	8314,
BRIP1	BRCA1 interacting protein C-terminal helicase 1	Homo sapiens	83990,
BRCC3	BRCA1/BRCA2-containing complex, subunit 3	Homo sapiens	79184,
BCCIP	BRCA2 and CDKN1A interacting protein	Homo sapiens	56647,
BRF1	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)	Homo sapiens	2972,
BRF2	BRF2, subunit of RNA polymerase III transcription initiation factor, BRF1-like	Homo sapiens	55290,
BSDC1	BSD domain containing 1	Homo sapiens	55108,
BTAF1	BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae)	Homo sapiens	9044,
BTBD1	BTB (POZ) domain containing 1	Homo sapiens	53339,
BTBD10	BTB (POZ) domain containing 10	Homo sapiens	84280,
BTBD12	BTB (POZ) domain containing 12	Homo sapiens	84464,
BTBD2	BTB (POZ) domain containing 2	Homo sapiens	55643,
BTBD3	BTB (POZ) domain containing 3	Homo sapiens	22903,
BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	Homo sapiens	571,
BACH2	BTB and CNC homology 1, basic leucine zipper transcription factor 2	Homo sapiens	60468,
BTG2	BTG family, member 2	Homo sapiens	7832,
BTG3	BTG family, member 3	Homo sapiens	10950,
BANP	BTG3 associated nuclear protein	Homo sapiens	54971,
BBS2	Bardet-Biedl syndrome 2	Homo sapiens	583,
BBS4	Bardet-Biedl syndrome 4	Homo sapiens	585,
BMF	Bcl2 modifying factor	Homo sapiens	90427,
BSCL2	Bernardinelli-Seip congenital lipodystrophy 2 (seipin)	Homo sapiens	26580,
BLM	Bloom syndrome, RecQ helicase-like	Homo sapiens	641,
BOC	Boc homolog (mouse)	Homo sapiens	91653,
BTK	Bruton agammaglobulinemia tyrosine kinase	Homo sapiens	695,
CRP	C-reactive protein, pentraxin-related	Homo sapiens	1401,
CTBP1	C-terminal binding protein 1	Homo sapiens	1487,
CTBP2	C-terminal binding protein 2	Homo sapiens	1488,
CLEC1B	C-type lectin domain family 1, member B	Homo sapiens	51266,
CLEC11A	C-type lectin domain family 11, member A	Homo sapiens	6320,
CLEC2D	C-type lectin domain family 2, member D	Homo sapiens	29121,
CLEC3B	C-type lectin domain family 3, member B	Homo sapiens	7123,
CLEC4A	C-type lectin domain family 4, member A	Homo sapiens	50856,
CLEC4F	C-type lectin domain family 4, member F	Homo sapiens	165530,
CLEC4G	C-type lectin domain family 4, member G	Homo sapiens	339390,
CLEC4M	C-type lectin domain family 4, member M	Homo sapiens	10332,
CLEC5A	C-type lectin domain family 5, member A	Homo sapiens	23601,
C1D	C1D nuclear receptor co-repressor; similar to nuclear DNA-binding protein; similar to hCG1791993	Homo sapiens	10438,642521,642538,
C1GALT1C1	C1GALT1-specific chaperone 1	Homo sapiens	29071,
C1QTNF1	C1q and tumor necrosis factor related protein 1	Homo sapiens	114897,
C1QTNF5	C1q and tumor necrosis factor related protein 5	Homo sapiens	114902,
C2CD2L	C2CD2-like	Homo sapiens	9854,
CPAMD8	C3 and PZP-like, alpha-2-macroglobulin domain containing 8	Homo sapiens	27151,
CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	Homo sapiens	10487,
CAP2	CAP, adenylate cyclase-associated protein, 2 (yeast)	Homo sapiens	10486,
CLIP1	CAP-GLY domain containing linker protein 1	Homo sapiens	6249,
CLIP2	CAP-GLY domain containing linker protein 2	Homo sapiens	7461,
CASKIN1	CASK interacting protein 1	Homo sapiens	57524,
CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	Homo sapiens	8738,
CFLAR	CASP8 and FADD-like apoptosis regulator	Homo sapiens	8837,
